,Symbol,LTP,% Change,Open,High,Low,Qty.
766,NBF3,9.50,-2.56,9.70,9.46,9.70,"29,045"
767,NBL,275.00,-0.9,278.00,275.00,277.50,"51,524"
768,NBLD85,"1,030.00",-0.48,"1,030.00","1,030.00","1,030.00",50
769,NBLD87,"1,033.00",-0.67,"1,033.00","1,033.00","1,033.00",25
770,NCCD86,"1,166.80",6.07,"1,100.00","1,100.00","1,100.00",15
771,NESDO,"2,289.00",-0.9,"2,350.00","2,270.00","2,300.00","2,159"
772,NFS,"1,155.00",-7.15,"1,254.50","1,132.00","1,244.00","359,392"
773,NGPL,296.00,-3.27,312.00,295.10,312.00,"259,577"
774,NHDL,749.00,-0.45,773.00,743.00,767.40,"28,044"
775,NHPC,234.90,-2.93,246.70,233.00,237.20,"258,757"
776,NIBD84,"1,067.00",1.96,"1,067.00","1,045.00","1,045.00",115
777,NIBLGF,9.09,1,9.22,8.87,9.00,"9,000"
778,NIBLSTF,9.07,1.34,9.07,8.90,9.00,"12,680"
779,NIBSF2,8.81,-0.9,8.82,8.74,8.82,"2,300"
780,NICA,409.90,-1.28,415.00,406.00,406.90,"155,704"
781,NICAD8182,"1,035.60",0,"1,035.60","1,035.60","1,035.60",150
782,NICBF,9.51,-1.86,9.51,9.50,9.50,"1,100"
783,NICD88,"1,030.00",-0.29,"1,030.00","1,030.00","1,030.00",25
784,NICFC,9.40,-1.16,9.55,9.37,9.37,"32,800"
785,NICGF,10.91,-0.46,11.00,10.91,11.00,"47,650"
786,NICGF2,9.11,-1.51,9.11,8.91,9.08,"72,300"
787,NICL,"1,000.00",-0.99,"1,010.00",995.20,999.00,"10,219"
788,NICLBSL,702.40,-1.49,715.00,700.00,705.00,"8,250"
789,NICSF,9.57,0.74,9.57,9.39,9.39,"77,350"
790,NIFRA,262.50,-0.94,267.50,261.20,264.10,"119,216"
791,NIFRAUR85/86,985.00,0,985.00,985.00,985.00,30
792,NIL,945.00,-0.63,966.00,945.00,950.00,"11,928"
793,NIMB,222.80,-0.98,225.00,222.00,225.00,"90,104"
794,NLG,905.00,-0.55,919.90,895.10,895.10,"23,028"
795,NLIC,807.00,-0.37,824.90,802.00,824.90,"37,055"
796,NLICL,600.00,0.17,605.00,595.00,595.10,"16,263"
797,NMB,250.20,-1.11,254.00,248.10,248.10,"51,189"
798,NMB50,10.61,-1.76,10.70,10.61,10.61,"1,100"
799,NMBMF,722.00,-1.1,730.00,719.00,719.00,"2,852"
800,NMFBS,"1,370.00",-1.93,"1,420.00","1,369.10","1,410.00","8,594"
801,NMLBBL,699.90,-1.42,715.00,698.10,712.00,"10,528"
802,NRIC,779.00,-0.13,797.00,775.00,785.00,"25,061"
803,NRM,460.00,-2.11,470.00,451.10,462.00,"33,713"
804,NRN,"1,115.00",-0.71,"1,139.00","1,090.10","1,101.00","260,140"
805,NSIF2,10.61,-2.12,10.70,10.60,10.63,"300,500"
806,NTC,956.10,-0.3,969.00,955.00,959.00,"18,638"
807,NUBL,692.00,-2.38,710.00,691.00,710.00,"10,659"
808,NWCL,"1,018.00",-1.55,"1,040.00","1,015.30","1,015.30","9,518"
809,NYADI,340.10,-3.38,352.00,340.10,345.10,"7,358"
810,OHL,965.00,-3.69,982.00,950.00,982.00,"9,048"
811,PBLD84,"1,100.60",0.97,"1,100.60","1,100.60","1,100.60",100
812,PCBL,259.00,-0.38,262.00,257.10,262.00,"69,962"
813,PFL,669.00,-3.75,700.00,662.00,696.00,"82,112"
814,PHCL,570.00,-0.52,580.00,559.20,580.00,"132,577"
815,PMHPL,291.00,-4.28,308.00,291.00,308.00,"30,545"
816,PMLI,558.00,-1.22,570.00,556.30,560.00,"11,861"
817,PPCL,302.00,-1.34,319.20,301.50,304.00,"88,655"
818,PPL,535.20,-2.71,560.00,535.00,554.00,"35,382"
819,PRIN,993.60,-1.03,"1,022.90",990.00,"1,014.90","19,578"
820,PROFL,687.00,-3.24,715.00,680.00,711.00,"73,900"
821,PRSF,10.34,0.58,10.34,10.09,10.09,"71,500"
822,PRVU,230.40,-0.17,234.00,229.40,231.00,"94,745"
823,PSF,10.25,-0.49,10.30,10.11,10.20,"108,322"
824,RADHI,400.00,-1.72,415.00,396.00,399.00,"85,306"
825,RAWA,854.00,1.24,896.00,811.00,827.00,"26,567"
826,RBCL,"17,900.00",4.07,"18,409.00","17,500.00","17,544.00","3,324"
827,RBCLPO,"13,000.00",3.32,"13,500.00","12,829.00","12,829.00","2,232"
828,RFPL,"1,050.00",-3.49,"1,066.30",985.00,"1,066.30","137,728"
829,RHGCL,511.00,1.79,522.00,488.10,500.00,"54,007"
830,RHPL,481.50,0.35,527.00,471.00,471.00,"413,420"
831,RIDI,242.00,-1.43,247.50,240.00,245.00,"114,892"
832,RLFL,654.00,-3.13,680.00,652.00,671.00,"80,321"
833,RMF1,9.47,0.74,9.47,9.10,9.22,"11,150"
834,RMF2,9.68,-0.21,9.68,9.66,9.66,450
835,RNLI,521.00,-0.38,526.50,518.00,518.00,"54,710"
836,RSDC,735.00,0.68,741.00,725.00,730.00,"10,136"
837,RURU,740.00,-0.67,758.00,731.00,745.00,"10,388"
838,SADBL,447.30,-1.04,461.00,445.00,459.90,"133,406"
839,SAEF,11.24,-0.27,11.39,11.24,11.39,"398,455"
840,SAGF,10.00,0,10.00,10.00,10.00,"1,700"
841,SAHAS,501.00,-2.34,514.00,500.10,508.10,"102,587"
842,SALICO,729.00,1.25,748.00,719.00,734.40,"14,339"
843,SAMAJ,"3,406.00",-3.27,"3,500.00","3,391.00","3,451.00","1,107"
844,SANIMA,313.80,-0.85,317.00,310.20,310.20,"99,424"
845,SAPDBL,"1,069.90",-0.94,"1,105.00","1,060.00","1,097.00","69,950"
846,SARBTM,750.90,-2.86,788.00,750.90,788.00,"39,248"
847,SBCF,9.59,-0.1,9.70,9.41,9.41,"10,350"
848,SBD87,"1,035.00",-0.32,"1,035.00","1,026.50","1,026.50",35
849,SBI,460.50,-0.54,470.90,458.70,470.90,"42,783"
850,SBIBD86,"1,085.00",-3.12,"1,101.00","1,085.00","1,101.00",100
851,SBL,320.00,-1.23,323.90,317.00,323.90,"46,163"
852,SBLD2082,"1,080.00",0.28,"1,080.00","1,076.00","1,076.20",950
853,SBLD84,"1,032.20",-1.13,"1,032.20","1,032.20","1,032.20",10
854,SCB,650.50,-1.44,658.90,650.00,654.00,"34,860"
